Id,Label,SUID,shared name,name,selected,KEGG_NODE_X,KEGG_NODE_Y,KEGG_NODE_WIDTH,KEGG_NODE_HEIGHT,KEGG_NODE_LABEL,KEGG_NODE_LABEL_LIST_FIRST,KEGG_NODE_LABEL_LIST,KEGG_ID,KEGG_NODE_LABEL_COLOR,KEGG_NODE_FILL_COLOR,KEGG_NODE_REACTIONID,KEGG_NODE_TYPE,KEGG_NODE_SHAPE,KEGG_LINK,KEGG_DEFINITION
1367,Glucoerucin,1367,path:ath00966:73,path:ath00966:73,false,561,409,8,8,C08409,Glucoerucin,[C08409],[cpd:C08409],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C08409,
1364,Glucoiberverin,1364,path:ath00966:72,path:ath00966:72,false,560,292,8,8,C08412,Glucoiberverin,[C08412],[cpd:C08412],"#000000","#FFFFFF",,compound,circle,https://www.kegg.jp/dbget-bin/www_bget?C08412,
1361,SOT17,1361,path:ath00966:69,path:ath00966:69,false,533,877,1,1,SOT17...,SOT17,[SOT17...],"[ath:AT1G18590, ath:AT1G74090]","#66CC66","#FFFFFF",rn:R11888,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G18590+ath:AT1G74090," sulfotransferase 17 [KO:K22321] [EC:2.8.2.38]"
1358,CYP79F2,1358,path:ath00966:67,path:ath00966:67,false,318,877,1,1,CYP79F2...,CYP79F2,[CYP79F2...],"[ath:AT1G16400, ath:AT1G16410]","#66CC66","#FFFFFF",rn:R08675,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G16400+ath:AT1G16410," cytochrome P450, family 79, subfamily F, polypeptide 2 [KO:K12155] [EC:1.14.14.42]"
1355,SOT17,1355,path:ath00966:64,path:ath00966:64,false,533,760,1,1,SOT17...,SOT17,[SOT17...],"[ath:AT1G18590, ath:AT1G74090]","#66CC66","#FFFFFF",rn:R11887,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G18590+ath:AT1G74090," sulfotransferase 17 [KO:K22321] [EC:2.8.2.38]"
1352,CYP79F2,1352,path:ath00966:62,path:ath00966:62,false,318,760,1,1,CYP79F2...,CYP79F2,[CYP79F2...],"[ath:AT1G16400, ath:AT1G16410]","#66CC66","#FFFFFF",rn:R08674,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G16400+ath:AT1G16410," cytochrome P450, family 79, subfamily F, polypeptide 2 [KO:K12155] [EC:1.14.14.42]"
1349,CYP79F1,1349,path:ath00966:57,path:ath00966:57,false,318,643,1,1,CYP79F1,CYP79F1,[CYP79F1],[ath:AT1G16410],"#66CC66","#FFFFFF",rn:R08673,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G16410," cytochrome p450 79f1 [KO:K12154] [EC:1.14.14.42]"
1346,CYP79F1,1346,path:ath00966:52,path:ath00966:52,false,318,526,1,1,CYP79F1,CYP79F1,[CYP79F1],[ath:AT1G16410],"#66CC66","#FFFFFF",rn:R08672,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G16410," cytochrome p450 79f1 [KO:K12154] [EC:1.14.14.42]"
1343,SOT17,1343,path:ath00966:49,path:ath00966:49,false,533,409,1,1,SOT17...,SOT17,[SOT17...],"[ath:AT1G18590, ath:AT1G74090, ath:AT1G74100]","#66CC66","#FFFFFF",rn:R08671,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G18590+ath:AT1G74090+ath:AT1G74100," sulfotransferase 17 [KO:K22321] [EC:2.8.2.38]"
1340,CYP79F1,1340,path:ath00966:47,path:ath00966:47,false,318,409,1,1,CYP79F1,CYP79F1,[CYP79F1],[ath:AT1G16410],"#66CC66","#FFFFFF",rn:R08670,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT1G16410," cytochrome p450 79f1 [KO:K12154] [EC:1.14.14.42]"
1337,IMD1,1337,path:ath00966:44,path:ath00966:44,false,232,857,1,1,IMD1,IMD1,[IMD1],[ath:AT5G14200],"#66CC66","#FFFFFF",rn:R08646,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G14200," isopropylmalate dehydrogenase 1 [KO:K21360] [EC:1.1.1.85 1.1.1.-]"
1334,IPMI2,1334,path:ath00966:43,path:ath00966:43,false,232,818,1,1,IPMI2...,IPMI2,[IPMI2...],"[ath:AT2G43100, ath:AT3G58990, ath:AT4G13430]","#66CC66","#FFFFFF",rn:R08645,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT2G43100+ath:AT3G58990+ath:AT4G13430," isopropylmalate isomerase 2 [KO:K21359] [EC:4.2.1.33 4.2.1.170]"
1331,IMS2,1331,path:ath00966:42,path:ath00966:42,false,232,779,1,1,IMS2,IMS2,[IMS2],[ath:AT5G23020],"#66CC66","#FFFFFF",rn:R08644,gene,circle,https://www.kegg.jp/dbget-bin/www_bget?ath:AT5G23020," 2-isopropylmalate synthase 2 [KO:K15742] [EC:2.3.3.17]"
